zone,x_upstream,y_upstream,x_core,y_core,x_downstream,y_downstream,l,l_over_xminusx0,b_over_a,detJ_upstream,traceJ_upstream,discJ_upstream,lambda1r_upstream,lambda1i_upstream,lambda2r_upstream,lambda2i_upstream,detJ_core,traceJ_core,discJ_core,lambda1r_core,lambda1i_core,lambda2r_core,lambda2i_core,detJ_downstream,traceJ_downstream,discJ_downstream,lambda1r_downstream,lambda1i_downstream,lambda2r_downstream,lambda2i_downstream,label
498,0.2224275,-0.000569356,0.23716,-0.002219245,0.2602525,-0.001951075,0.037825,0.156729095881329,1.56745291023247,-99984.3969883037,3.30813585127351,399948.531716025,317.861488662416,0.0,-314.553352811142,0.0,166186.297341821,26.0371170844934,-664067.257901214,13.0185585422467,407.451609980011,13.0185585422467,-407.451609980011,-76280.7607844244,-17.6501255701537,305434.57007034,-285.155738819398,0.0,267.505613249244,0.0,1
499,0.276986,-0.002219245,0.284131,-0.002362975,0.3176615,-0.002836535,0.0406755000000001,0.136805418336073,4.69286214135755,-21632.2861018269,2.00844628513144,86533.178263788,148.086834507564,0.0,-146.078388222432,0.0,63526.3409324054,12.5414210748843,-253948.076487044,6.27071053744213,251.966305528658,6.27071053744213,-251.966305528658,-83903.9836493803,-15.9220753840712,335869.447082057,-297.732260850089,0.0,281.810185466018,0.0,1
1413,0.41026,-0.004006965,0.4409215,-0.003380995,0.4500465,-0.00300965,0.0397865,0.0924937798331176,0.297604487712606,-38074.61199294,1.17572534977005,152299.830301858,-194.540191626552,0.0,195.715916976322,0.0,53038.6662275848,-21.4281215314401,-211695.500517973,-10.7140607657201,230.051896600513,-10.7140607657201,-230.051896600513,-60445.0859537176,14.9686435884237,242004.404105748,-238.485393875089,0.0,253.454037463513,0.0,0
744,0.03517985,0.000391006,0.0382744,0.000569356,0.04088425,0.000391006,0.0057044,0.149989285352748,0.843369795285258,-10472706.9683837,39.8300444827389,41892414.3059782,3256.13250203078,0.0,-3216.30245754804,0.0,16965603.0506586,-170.069907113555,-67833488.4293286,-85.0349535567775,4118.05440801019,-85.0349535567775,-4118.05440801019,-3786431.94879127,-42.8694512368093,15147565.5850144,1924.55895275098,0.0,-1967.42840398779,0.0,1
1412,0.02451365,0.0002852035,0.0272464,0.0002852035,0.03033345,0.0002852035,0.0058198,0.212219059895601,1.1296496203458,-17711823.8141769,-73.9064001272342,70852757.4126874,4171.75079917081,0.0,-4245.65719929804,0.0,71778433.8821584,-103.873339852892,-287102945.857901,-51.9366699264461,8472.05621230616,-51.9366699264461,-8472.05621230616,-13502149.684321,84.0811169762003,54015668.3715158,3716.80818282558,0.0,-3632.72706584938,0.0,1
84,0.130001,-0.000391006,0.1317015,-0.000507121,0.135149,-0.000849364,0.005148,0.0388308504620027,2.02734489855927,-126498.645173522,8.2790710397596,506063.123711369,359.830104593397,0.0,-351.551033553637,0.0,138929.85019018,25.5026841875133,-555069.013859952,12.7513420937566,372.51476945886,12.7513420937566,-372.51476945886,-178774.64787683,2.86292229673882,715106.787831396,424.251395586008,0.0,-421.388473289269,0.0,0
1184,0.7107055,-0.006505345,0.771094,0.00251355,0.781188,0.00300965,0.0704825,0.094487307572558,0.16715103041142,-25315.2981099566,-12.5008340842976,101417.46329263,152.98012595497,0.0,-165.480960039268,0.0,17319.234881678,-14.646595884878,-69062.416755697,-7.32329794243902,131.398646069601,-7.32329794243902,-131.398646069601,-11835.0466475844,10.0849665209175,47441.8931400655,113.948283312689,0.0,-103.863316791772,0.0,0
738,0.07804015,-0.0002358795,0.0838555,-0.000100952,0.09350765,-0.000391006,0.0154675,0.180328748022417,1.65977112297626,-471372.155802395,-10.0957523043193,1885590.54742417,681.536158657886,0.0,-691.631910962206,0.0,447219.991846761,9.09521479566203,-1788797.24445486,4.54760739783102,668.729624821359,4.54760739783102,-668.729624821359,-199330.05098105,53.7824455147242,800212.755369746,474.16428123779,0.0,-420.381835723066,0.0,1
1031,0.3362405,-0.002219245,0.3544965,-0.001826055,0.356994,-0.001826055,0.0207535,0.0598744003652445,0.136804338299739,27979.3719909462,-4.70673918093126,-111895.334570067,-2.35336959046564,167.253800083935,-2.35336959046564,-167.253800083935,31012.6921381023,-8.84621847294881,-123972.512971138,-4.4231092364744,176.048653055866,-4.4231092364744,-176.048653055866,-10383.9694842538,9.13583172818889,41619.3413583811,106.572010583842,0.0,-97.4361788556534,0.0,0
137,0.178223,-0.001484075,0.184705,-0.0007744065,0.1869055,-0.00109633,0.0086825,0.0475585992328729,0.339478556001232,-155913.026783659,13.0214654157904,623821.66569621,-388.401176993563,0.0,401.422642409353,0.0,59371.8068101419,-12.7331200424617,-237325.094894552,-6.36656002123086,243.580117668988,-6.36656002123086,-243.580117668988,-102540.323944255,40.1767638509485,411775.468130556,340.937048796071,0.0,-300.760284945122,0.0,0
